,,1756-EN2TR,PanelView 5510,Studio 5000 View Designer,Studio 5000 Logix Designer,1756-OB32,1756-OF8I,1756-IB32,1756-IF8I,1756-OB16D,1756-IB16,1756-OB16E,1756-IB16D,1783-ETAP2F,1756-L73S
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.10.01 RSLE 5.10.01 (CPR9 SR1),,,Not Compatible,Not Compatible,,,,,,,,,,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,"FTSP 2.10.02 RSLE 5.20.00, 5.21.00 (CPR9 SR2)",,,Not Compatible,Not Compatible,,,,,,,,,,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.30.00 RSLE 5.30.00 (CPR9 SR3),,,Not Compatible,Not Compatible,,,,,,,,,,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.40.00 RSLE 5.40.00 (CPR9 SR4),,,Not Compatible,Not Compatible,,,,,,,,,,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.50.00 RSLE 5.50.00 (CPR9 SR5),,,Not Compatible,Not Compatible,,,,,,,,,,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.51.00 RSLE 5.51.00 (CPR 9 SR5.1),,,Not Compatible,Not Compatible,,,,,,,,,,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.60.00 RSLE 5.60.00 (CPR 9 SR6),,,Not Compatible,Not Compatible,,,,,,,,,,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.61.00 RSLE 5.61.00 (CPR 9 SR6.1),,,,Not Compatible,,,,,,,,,,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.70.00 RSLE 5.70.00 (CPR9 SR7),,,Not Compatible,Not Compatible,,,,,,,,,,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.71.00 RSLE 5.71.00 (CPR9 SR7.1),,,Not Compatible,Not Compatible,,,,,,,,,,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.73.00 RSLE 5.73.00 (CPR9 SR7.3),,,Not Compatible,Not Compatible,,,,,,,,,,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.74.00 RSLE 5.74.00 (CPR9 SR7.4),,,Not Compatible,Not Compatible,,,,,,,,,,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.80.00 RSLE 5.80.00 (CPR9 SR 8),,,Not Compatible,Not Compatible,,,,,,,,,,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.81.00 RSLE 5.81.00 (CPR9 SR 8.1),,,Not Compatible,Not Compatible,,,,,,,,,,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.90.00 RSLE 5.90.00 (CPR9 SR9),,,Compatible,Compatible,,,,,,,,,,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 3.00.00 FT Linx 6.00.00 (CPR 9 SR 10),,,,Compatible,,,,,,,,,,
Operating Systems - General,Linux,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - General,Windows 2000,No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - General,Windows NT Workstation 4.0 (NTFS),No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Enterprise, 32-bit, Version 1511",No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Enterprise, 32-bit, Version 1607",No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Enterprise, 64-bit, Version 1511",No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Enterprise, 64-bit, Version 1607",No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Enterprise, 64-bit, Version 1703",No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Professional, 32-bit, Version 1511",No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Professional, 32-bit, Version 1607",No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Professional, 64-bit, Version 1511",No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Professional, 64-bit, Version 1607",No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Professional, 64-bit, Version 1703",No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2003,Windows 2003 Standard (32-bit),No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2003,Windows 2003 Standard SP1 (32-bit),No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2003,Windows 2003 Standard SP2 (32-bit),No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2003 R2,Windows 2003 R2 Standard (32-bit),No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2003 R2,Windows 2003 R2 Standard SP2 (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2003 R2,Windows 2003 R2 Standard SP2 (64-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2003 R2,Windows Server 2003 Standard R2 SP1 [32-bit],No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2008,Windows Server 2008 Standard (32-bit),No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2008,Windows Server 2008 Standard SP1 (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2008,Windows Server 2008 Standard SP1 [64-bit],No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2008,Windows Server 2008 Standard SP2 (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2008,Windows Server 2008 Standard SP2 (64-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2008 R2,Windows Server 2008 R2 Enterprise SP1,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2008 R2,Windows Server 2008 R2 Standard ,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2008 R2,Windows Server 2008 R2 Standard SP1,No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2012,Windows Server 2012 Datacenter,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2012,Windows Server 2012 Standard ,No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2012 R2,Windows Server 2012 R2 Datacenter,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2012 R2,Windows Server 2012 R2 Standard,No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2016,Windows Server 2016 Standard,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Enterprise SP1 32-bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Enterprise SP1 64-bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Home Premium (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Home Premium (64-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Home Premium SP1 32-bit,No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Home Premium SP1 64-bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Professional (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Professional (64-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Professional SP1 (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Professional SP1 (64-bit),No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Ultimate SP1 32-bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Ultimate SP1 64-bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8 (home) 32-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8 (home) 64-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8 Enterprise 32-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8 Enterprise 64-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8 Professional 32-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8 Professional 64-Bit,No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8.1 Enterprise 32-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8.1 Enterprise 64-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8.1 Professional 32-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8.1 Professional 64-Bit,No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows XP,Windows XP Pro (32-bit),No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows XP,Windows XP Pro SP1 (32-bit),No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows XP,Windows XP Pro SP2 (32-bit),No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows XP,Windows XP Pro SP3 (32-bit),No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Antivirus Software,McAfee (KB 67054),,,May be Compatible,May be Compatible,,,,,,,,,,
Antivirus Software,Symantec Endpoint Protection (SEP)  (KB 64182),,,May be Compatible,May be Compatible,,,,,,,,,,
Features - General, Redundant Output Functionality,,,,,,Compatible,,,,,,,,
Features - General, System features in Studio 5000 Logix Designer version 31.01,,,,Compatible,,,,,,,,,,
Features - General,Activation Key Software Grace Period,,,,,,,,,,,,,,
Features - General,Auto-Save and Recovery,,,,Compatible,,,,,,,,,,
Features - General,Compare and Merge Tool Enhancements,,,,Compatible,,,,,,,,,,
Features - General,Controller Message to Self,,,,Compatible,,,,,,,,,,
Features - General,Dip Switch Supervisor Config,,,,,,,,,,,,,Compatible,
Features - General,Electronic Data Sheet AOP,,,,Compatible,,,,,,,,,,
Features - General,Emulation Mode,,,,,,Compatible,,Compatible,,,,,,
Features - General,Extended Tag Properties,,,Compatible,Compatible,,,,,,,,,,
Features - General,Extreme Environment ,Not Compatible,,,,,,,,,,,,,
Features - General,Functional Safety,,,,,,Compatible,,Compatible,,,,,,
Features - General,HMI Connectivity and Performance Improvements,,,,Compatible,,,,,,,,,,
Features - General,Improved Product Resiliency for I/O Modules,,,,,,,Compatible,,Compatible,,,,,
Features - General,Integrated System Install,,,Compatible,Compatible,,,,,,,,,,
Features - General,"Language Switching, Multi-lingual Project Documentation ",,,,Compatible,,,,,,,,,,
Features - General,Library Management enhancements,,,,Compatible,,,,,,,,,,
Features - General,Logical Organizer Available in Logix Designer,,,,Compatible,,,,,,,,,,
Features - General,Logix Date Base Changed,,,,Compatible,,,,,,,,,,
Features - General,"Logix Designer, Design Environment and Application",,,,Compatible,,,,,,,,,,
Features - General,"Logix Tree, Enhancements to Finding-Adding Devices ",,,,Compatible,,,,,,,,,,
Features - General,"Logix Tree, Module Discovery",,,,Compatible,,,,,,,,,,
Features - General,New Firmware File Format,,,,,,Compatible,,Compatible,,,,,,
Features - General,"Online Help, Instruction Context Sensitive",,,Compatible,Compatible,,,,,,,,,,
Features - General,Product Features Overview of Studio 5000 View Designer 2.02,,,Compatible,,,,,,,,,,,
Features - General,Project Documentation Stored in Controller,,,,Compatible,,,,,,,,,,
Features - General,Rack optimized enhancements,,,,Compatible,,,,,,,,,,
Features - General,Runtime and Online Addition of Modules,Compatible,,,,Compatible,Compatible,Compatible,Compatible,Compatible,Compatible,Compatible,Compatible,Compatible,
Features - General,Sample Projects,,,,Compatible,,,,,,,,,,
Features - General,SequenceManager Available,,,,,,,,,,,,,,
Features - General,SOE-Input and Scheduled-Output Modules,,,,Compatible,,,,,,,,,,
Features - General,Start Page,,,,Compatible,,,,,,,,,,
Features - General,System Features for PanelView 5000 Firmware Revision 5.001,,Compatible,,,,,,,,,,,,
Features - General,System features for Studio 5000 Logix Designer version 31.00.00,,,,Compatible,,,,,,,,,,
