,,1756-L83ES,1756-OF8I,1756-OB32,1756-OB16E,1756-OB16D,1756-IF8I,1756-IB32,1756-IB16D,1756-IB16,1756-EN2TR,Studio 5000 Logix Designer,Studio 5000 View Designer,PanelView 5510
Operating Systems - Windows 2008,Windows Server 2008 Standard SP2 (64-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2008 R2,Windows Server 2008 R2 Enterprise SP1,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2008 R2,Windows Server 2008 R2 Standard ,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2008 R2,Windows Server 2008 R2 Standard SP1,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies
Operating Systems - Windows 2012,Windows Server 2012 Datacenter,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Compatible,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2012,Windows Server 2012 Standard ,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies
Operating Systems - Windows 2012 R2,Windows Server 2012 R2 Datacenter,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Compatible,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2012 R2,Windows Server 2012 R2 Standard,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies
Operating Systems - Windows 2016,Windows Server 2016 Standard,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Compatible,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Enterprise SP1 32-bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Enterprise SP1 64-bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Home Premium (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Home Premium (64-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Home Premium SP1 32-bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Home Premium SP1 64-bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Professional (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Professional (64-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Professional SP1 (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Professional SP1 (64-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Ultimate SP1 32-bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 7,Windows 7 Ultimate SP1 64-bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8 (home) 32-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8 (home) 64-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8 Enterprise 32-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8 Enterprise 64-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8 Professional 32-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8 Professional 64-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies
Operating Systems - Windows 8,Windows 8.1 Enterprise 32-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8.1 Enterprise 64-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8.1 Professional 32-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 8,Windows 8.1 Professional 64-Bit,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies
Operating Systems - Windows XP,Windows XP Pro (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies
Operating Systems - Windows XP,Windows XP Pro SP1 (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies
Operating Systems - Windows XP,Windows XP Pro SP2 (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies
Operating Systems - Windows XP,Windows XP Pro SP3 (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies
Antivirus Software,McAfee (KB 67054),,,,,,,,,,,May be Compatible,May be Compatible,
Antivirus Software,Symantec Endpoint Protection (SEP)  (KB 64182),,,,,,,,,,,May be Compatible,May be Compatible,
Features - General, Redundant Output Functionality,,Compatible,,,,,,,,,,,
Features - General,CIP Energy Object-backed Tags,,,,,,,,,,,,,
Features - General,Controller Message to Self,,,,,,,,,,,,,
Features - General,Emulation Mode,,Compatible,,,,Compatible,,,,,,,
Features - General,Enhanced Diagnostics on Controller Webpages,,,,,,,,,,,,,
Features - General,EtherNet/IP Node Guidelines for ControlLogix 5580 Controllers,,,,,,,,,,,,,
Features - General,Extended Tag Properties,,,,,,,,,,,,Compatible,
Features - General,Extreme Environment ,,,,,,,,,,Not Compatible,,,
Features - General,Functional Safety,,Compatible,,,,Compatible,,,,,,,
Features - General,Improved Controller Capacity Calculation,,,,,,,,,,,,,
Features - General,Improved Messaging Performance,,,,,,,,,,Compatible,,,
Features - General,Improved Product Resiliency,,,,,,,,,,,,,
Features - General,Improved Product Resiliency for I/O Modules,,,Compatible,Compatible,Compatible,,Compatible,Compatible,Compatible,,,,
Features - General,Instruction-based Alarm Support,,,,,,,,,,,,,
Features - General,Integrated System Install,,,,,,,,,,,,Compatible,
Features - General,Launch of Explicit Protected Mode,,,,,,,,,,Compatible,,,
Features - General,New Firmware File Format,,Compatible,,,,Compatible,,,,,,,
Features - General,New Hardware Preservation Fault,,,,,,,,,,,,,
Features - General,"Online Help, Instruction Context Sensitive",,,,,,,,,,,,Compatible,
Features - General,Product Features Overview of Studio 5000 View Designer 2.02,,,,,,,,,,,,Compatible,
Features - General,Product Resiliency Improvement,,,,,,,,,,Compatible,,,
Features - General,Reduced Device Configuration Time,,,,,,,,,,,,,
Features - General,Rename Tags On Scan,,,,,,,,,,,,,
Features - General,Runtime and Online Addition of Modules,,Compatible,Compatible,Compatible,Compatible,Compatible,Compatible,Compatible,Compatible,Compatible,,,
Features - General,String Literals,,,,,,,,,,,,,
Features - General,Support for PanelView 5000 Button Control,,,,,,,,,,,,,
Features - General,System Features for PanelView 5000 Firmware Revision 5.001,,,,,,,,,,,,,Compatible
Features - General,System Features for PanelView 5000 Firmware Revision 6.001,,,,,,,,,,,,,Compatible
Features - General,System features for Studio 5000 Logix Designer version 32.01,,,,,,,,,,,Compatible,,
Features - General,"System features for Studio 5000 Logix Designer, version 32.02.00",,,,,,,,,,,Compatible,,
Features - General,"System features for Studio 5000 Logix Designer, version 32.03.00",,,,,,,,,,,Compatible,,
Features - General,System features for Studio 5000 View Designer version 4.01,,,,,,,,,,,,Compatible,
Features - General,System features for Studio 5000 View Designer version 5.01,,,,,,,,,,,,Compatible,
Features - General,System features for Studio 5000 View Designer version 6.01,,,,,,,,,,,,Compatible,
Features - General,System features for version 32.02,,,,,,,,,,,Compatible,,
Features - General,System Features New features in this release for Studio 5000 Logix Designer version 29.00,,,,,,,,,,,,,
Features - General,System Install,,,,,,,,,,,,Compatible,
Features - General,Tag-based Alarms,,,,,,,,,,,,,
Features - General,USB Network Access Port,,,,,,,,,,Compatible,,,
Features - General,Windows 8 support,,,,,,,,,,,,Compatible,
Features - Add On Instructions,Access to Module Object,,,,,,,,,,,Compatible,,
Features - Add On Instructions,"Add-On Instructions, Attributes",,,,,,,,,,,Compatible,,
Features - Add On Instructions,"Add-On Instructions, False Execution",,,,,,,,,,,Compatible,,
Features - Add On Instructions,"Add-On Instructions, High-Integrity ",,,,,,,,,,,Compatible,,
Features - Add On Instructions,"Add-On Instructions, Improved False Execution Time",,,,,,,,,,,Compatible,,
Features - Add On Instructions,"Add-On Instructions, Safety ",,,,,,,,,,,Compatible,,
Features - Add On Instructions,"Add-On Instructions, User Defined",,,,,,,,,,,Compatible,,
Features - Alarms and Events,Alarm Shelving support for Logix device-based Alarms,,,,,,,,,,,May be Compatible,May be Compatible,
Features - Alarms and Events,ALMA and ALMD Instructions,,,,,,,,,,,Compatible,Compatible,
Features - Alarms and Events,FactoryTalk Alarms and Events Features,,,,,,,,,,,Compatible,May be Compatible,
Features - Alarms and Events,Full ISA 18.2 Alarm State Standard Adoption,,,,,,,,,,,May be Compatible,May be Compatible,
